Purchase Date,Product Name,Price
2019-07-06,Groceries,100.12
2015-04-28,Noise-Cancelling Headphones,149.97
2019-04-19,4K Blu-ray Player,149.56
2022-11-22,Kitchen Blender,59.62
2015-07-22,Noise-Cancelling Earbuds,180.05
2019-02-04,4K Blu-ray Player,150.49
2022-10-22,Digital Piano,600.4
2023-02-14,Home Security Camera,100.31
2017-05-08,Drone with Camera,400.21
2015-06-27,Tablet,299.91
2022-12-19,Office Supplies,19.54
2016-04-16,E-Reader,119.72
2016-05-14,Notebook,2.14
2017-06-12,Dish Soap,3.07
2018-03-04,Cookware Set,100.06
2016-06-01,Smart Light Bulbs (Pack of 4),49.94
2021-08-16,4K Blu-ray Player,150.08
2022-07-22,LED TV,500.37
2017-07-27,Camping Tent,150.34
2015-03-01,Portable Hard Drive,79.63
2015-01-13,Drone with Camera,399.68
2021-10-11,Kitchen Blender,59.5
2022-04-05,Electric Shaver,99.98
2019-08-05,Art Supplies,20.2
2015-01-22,Table Lamp,29.84
2017-07-15,Groceries,99.71
2020-12-26,Microwave Oven,150.03
2015-11-20,Groceries,99.84
2017-04-18,Noise-Cancelling Earbuds,180.09
2022-07-18,Notebook,2.06
2023-08-26,Fitness Equipment,500.03
2015-12-18,Smartphone,800.11
2018-07-22,Smartphone,800.18
2017-08-16,Printer,99.75
2016-05-11,Portable Hard Drive,80.1
2018-09-15,Microwave Oven,150.18
2023-07-27,Cookware Set,99.77
2020-10-08,Drone with Camera,400.25
2020-09-08,Sketchpad,5.22
2019-02-28,Bicycle Helmet,50.48
2021-01-09,Soccer Ball,25.34
2016-05-21,Robot Vacuum,350.07
2018-05-11,Digital Piano,599.9
2023-09-23,Hair Dryer,39.73
2017-03-28,Groceries,100.13
2020-06-20,4K Blu-ray Player,149.78
2023-12-21,Laptop Stand,29.93
2019-07-09,Laptop Stand,29.94
2015-02-18,Robot Vacuum,349.55
2022-05-17,Gaming Console,500.08
2022-07-26,Wireless Headphones,79.53
2020-07-05,Smartwatch,249.82
2016-04-20,Office Supplies,19.95
2022-01-11,Laptop Stand,29.54
